StartTime         ,LastTime          ,Proto ,SrcAddr       ,Sport ,DstAddr         ,Dport ,State ,Dur      ,SrcBytes ,DstBytes ,sTtl ,dTtl ,SrcLoss ,DstLoss ,SrcLoad         ,DstLoad         ,SrcPkts ,DstPkts ,SrcWin  ,DstWin ,SrcTCPBase ,DstTCPBase ,sMeanPktSz  ,dMeanPktSz  ,SrcJitter     ,DstJitter     ,SIntPkt     ,DIntPkt     ,TcpRtt   ,SynAck   ,AckDat
02-12-25 22:45:58 ,02-12-25 22:45:59 ,    6 ,172.21.198.66 ,60704 ,142.251.186.154 ,  443 ,CON   ,0.163689 ,    3859 ,    3678 ,  64 , 121 ,      0 ,      0 ,  270290.406250 ,  213338.343750 ,     12 ,     13 ,  75392 ,266496 , 500402695 ,3876555494 , 321.583344 , 282.923065 ,   580.211566 ,   568.223191 ,   9.519728 ,  10.612250 ,0.036392 ,0.036342 ,0.000050
02-12-25 22:45:59 ,02-12-25 22:46:02 ,    6 ,172.21.198.66 ,49092 ,142.251.116.93  ,  443 ,CON   ,2.664037 ,    6107 ,    1344 ,  64 , 120 ,      0 ,      0 ,   16237.602539 ,    3801.407227 ,      8 ,     15 ,   2205 ,   874 , 555097193 ,2337699961 , 763.375000 ,  89.599998 , 28401.655293 , 20699.638692 , 344.015875 , 183.410328 ,0.000000 ,0.000000 ,0.000000
02-12-25 22:45:59 ,02-12-25 22:45:59 ,    6 ,172.21.198.66 ,47840 ,142.250.114.139 ,  443 ,CON   ,0.122052 ,     948 ,     799 ,  64 , 120 ,      0 ,      0 ,   97525.867188 ,   64420.179688 ,      7 ,      6 ,    670 ,  1007 ,3876303401 ,3776698655 , 135.428574 , 133.166672 ,    24.687223 ,    22.130463 ,  11.115000 ,  16.541400 ,0.000000 ,0.000000 ,0.000000
02-12-25 22:46:01 ,02-12-25 22:46:01 ,    6 ,172.21.198.66 ,46594 ,44.215.137.166  ,  443 ,CON   ,0.060716 ,      66 ,      66 ,  64 , 244 ,      0 ,      0 ,       0.000000 ,       0.000000 ,      1 ,      1 ,  82816 , 64128 , 751573940 ,1691279417 ,  66.000000 ,  66.000000 ,              ,              ,            ,            ,0.072282 ,0.072213 ,0.000069
02-12-25 22:46:04 ,02-12-25 22:46:04 ,   17 ,172.21.198.66 ,53092 ,173.194.191.234 ,  443 ,CON   ,0.279848 ,   11809 ,  718326 ,  64 ,  58 ,      0 ,      0 ,  399883.281250 ,23692708.000000 ,     73 ,    562 ,        ,       ,           ,           , 161.767120 ,1278.160156 ,   677.280750 ,   247.002156 ,  83.051531 ,  10.859283 ,0.000000 ,0.000000 ,0.000000
02-12-25 22:46:06 ,02-12-25 22:46:11 ,    6 ,172.21.198.66 ,49092 ,142.251.116.93  ,  443 ,CON   ,5.029156 ,   15229 ,    4530 ,  64 , 120 ,      0 ,      0 ,   23591.535156 ,    7097.164551 ,     30 ,     49 ,   2205 ,   829 , 555102772 ,2337700315 , 507.633331 ,  92.448982 , 29194.727123 , 22824.981346 , 298.010625 , 182.572250 ,0.000000 ,0.000000 ,0.000000
02-12-25 22:46:06 ,02-12-25 22:46:06 ,    6 ,172.21.198.66 ,37130 ,142.251.186.119 ,  443 ,CON   ,0.069737 ,     661 ,   15710 ,  64 , 121 ,      0 ,      0 ,  128186.289062 , 2832828.250000 ,      7 ,     10 , 102656 ,266496 ,1169399851 ,3094975189 ,  94.428574 ,1571.000000 ,  2785.316750 , 79568.320973 ,1142.991125 , 799.708750 ,0.032616 ,0.032561 ,0.000055
02-12-25 22:46:06 ,02-12-25 22:46:06 ,   17 ,172.21.198.66 ,33626 ,142.250.114.155 ,  443 ,CON   ,0.139778 ,    1692 ,     299 ,  64 ,  57 ,      0 ,      0 ,  117071.062500 ,   18281.326172 ,      5 ,      3 ,        ,       ,           ,           , 338.399994 ,  99.666664 ,  3031.515750 ,  3570.464000 ,1538.865750 ,2568.424250 ,0.000000 ,0.000000 ,0.000000
02-12-25 22:46:06 ,02-12-25 22:46:07 ,   17 ,172.21.198.66 ,48838 ,173.194.141.9   ,  443 ,CON   ,1.440354 ,   16289 ,  990430 ,  64 ,  58 ,      0 ,      0 ,   89827.914062 , 5629681.000000 ,    140 ,    773 ,        ,       ,           ,           , 116.349998 ,1281.280762 ,   658.292625 ,   282.462063 ,  65.696117 ,  11.899888 ,0.000000 ,0.000000 ,0.000000
02-12-25 22:46:06 ,02-12-25 22:46:07 ,    6 ,172.21.198.66 ,50048 ,142.251.116.119 ,  443 ,CON   ,0.986338 ,   25445 , 2027250 ,  64 , 120 ,      0 ,      0 ,  207915.781250 ,16950772.000000 ,    260 ,    391 ,2739200 ,259840 ,2557823115 ,3818516049 ,  97.865387 ,5184.782715 , 15746.324550 , 12826.748348 ,  34.582500 ,  22.919201 ,0.034403 ,0.034359 ,0.000044
02-12-25 22:46:07 ,02-12-25 22:46:07 ,    6 ,172.21.198.66 ,47840 ,142.250.114.139 ,  443 ,CON   ,0.129820 ,     670 ,     981 ,  64 , 120 ,      0 ,      0 ,   51350.109375 ,   74634.484375 ,      4 ,      7 ,    670 ,  1006 ,3876303888 ,3776699058 , 167.500000 , 140.142853 ,123438.424915 , 93126.250735 ,1971.474500 ,1125.998875 ,0.000000 ,0.000000 ,0.000000
02-12-25 22:46:07 ,02-12-25 22:46:07 ,    6 ,172.21.198.66 ,52142 ,173.194.57.234  ,  443 ,CON   ,0.038045 ,      66 ,      66 ,  64 , 120 ,      0 ,      0 ,       0.000000 ,       0.000000 ,      1 ,      1 ,  64128 ,268288 ,3520410737 , 854994792 ,  66.000000 ,  66.000000 ,              ,              ,            ,            ,0.026223 ,0.026155 ,0.000068
02-12-25 22:46:08 ,02-12-25 22:46:08 ,    6 ,172.21.198.66 ,46826 ,173.194.140.7   ,  443 ,CON   ,0.031958 ,      66 ,      66 ,  64 ,  57 ,      0 ,      0 ,       0.000000 ,       0.000000 ,      1 ,      1 ,1927424 ,257792 ,4122581072 ,4246183646 ,  66.000000 ,  66.000000 ,              ,              ,            ,            ,0.034247 ,0.034192 ,0.000055
02-12-25 22:46:08 ,02-12-25 22:46:08 ,    6 ,172.21.198.66 ,59948 ,173.194.191.234 ,  443 ,CON   ,0.025795 ,      66 ,      66 ,  64 , 121 ,      0 ,      0 ,       0.000000 ,       0.000000 ,      1 ,      1 ,1266176 ,265472 ,3261957536 ,3418854687 ,  66.000000 ,  66.000000 ,     0.000000 ,              ,9963.007000 ,            ,0.030219 ,0.030189 ,0.000030
02-12-25 22:46:08 ,02-12-25 22:46:08 ,    6 ,172.21.198.66 ,48834 ,173.194.141.9   ,  443 ,CON   ,0.035810 ,      66 ,      66 ,  64 ,  57 ,      0 ,      0 ,       0.000000 ,       0.000000 ,      1 ,      1 ,1494272 ,268800 ,1151252353 ,4072032724 ,  66.000000 ,  66.000000 ,     0.000000 ,              ,9965.971000 ,            ,0.039194 ,0.039142 ,0.000052
02-12-25 22:46:11 ,02-12-25 22:46:11 ,    6 ,172.21.198.66 ,46594 ,44.215.137.166  ,  443 ,CON   ,0.060956 ,      66 ,      66 ,  64 , 244 ,      0 ,      0 ,       0.000000 ,       0.000000 ,      1 ,      1 ,  82816 , 64128 , 751573940 ,1691279417 ,  66.000000 ,  66.000000 ,              ,              ,            ,            ,0.072282 ,0.072213 ,0.000069
02-12-25 22:46:15 ,02-12-25 22:46:18 ,   17 ,172.21.198.66 ,48838 ,173.194.141.9   ,  443 ,CON   ,3.513087 ,   13577 ,  687302 ,  64 ,  58 ,      0 ,      0 ,   30769.292969 , 1577729.750000 ,     63 ,    541 ,        ,       ,           ,           , 215.507935 ,1270.428833 ,  1016.230063 ,   353.397812 , 174.198266 ,  20.358008 ,0.000000 ,0.000000 ,0.000000
02-12-25 22:46:15 ,02-12-25 22:46:15 ,    6 ,172.21.198.66 ,37476 ,44.193.122.209  ,  443 ,CON   ,0.116298 ,    3301 ,     404 ,  64 , 245 ,      0 ,      0 ,  170321.078125 ,  786312.375000 ,      4 ,      3 ,    750 ,   425 , 265020437 , 533037720 , 825.250000 , 134.666672 ,  2118.641679 ,     1.358500 ,  38.766000 ,   1.373500 ,0.000000 ,0.000000 ,0.000000
02-12-25 22:46:15 ,02-12-25 22:46:15 ,    6 ,172.21.198.66 ,43526 ,162.159.61.4    ,  443 ,CON   ,0.041444 ,     826 ,    1599 ,  64 ,  54 ,      0 ,      0 ,  132998.750000 , 7334250.500000 ,      6 ,      6 ,   8837 ,    20 , 780831521 ,2114413741 , 137.666672 , 266.500000 ,   563.997076 ,    15.566311 ,   8.288800 ,   0.290800 ,0.000000 ,0.000000 ,0.000000
02-12-25 22:46:17 ,02-12-25 22:46:17 ,    6 ,172.21.198.66 ,52142 ,173.194.57.234  ,  443 ,CON   ,0.030903 ,      66 ,      66 ,  64 , 120 ,      0 ,      0 ,       0.000000 ,       0.000000 ,      1 ,      1 ,  64128 ,268288 ,3520410737 , 854994792 ,  66.000000 ,  66.000000 ,              ,              ,            ,            ,0.026223 ,0.026155 ,0.000068
02-12-25 22:46:17 ,02-12-25 22:46:21 ,    6 ,172.21.198.66 ,49092 ,142.251.116.93  ,  443 ,CON   ,3.090142 ,    6940 ,    3866 ,  64 , 120 ,      0 ,      0 ,   16830.021484 ,    9642.872070 ,     13 ,     22 ,   2248 ,   809 , 555116021 ,2337701611 , 533.846130 , 175.727280 , 65764.130078 , 50478.209987 , 769.162687 , 454.858625 ,0.000000 ,0.000000 ,0.000000
02-12-25 22:46:18 ,02-12-25 22:46:18 ,    6 ,172.21.198.66 ,46826 ,173.194.140.7   ,  443 ,CON   ,0.039833 ,      66 ,      66 ,  64 ,  57 ,      0 ,      0 ,       0.000000 ,       0.000000 ,      1 ,      1 ,1927424 ,257792 ,4122581072 ,4246183646 ,  66.000000 ,  66.000000 ,              ,              ,            ,            ,0.034247 ,0.034192 ,0.000055
02-12-25 22:46:18 ,02-12-25 22:46:18 ,    6 ,172.21.198.66 ,59948 ,173.194.191.234 ,  443 ,CON   ,0.030957 ,      66 ,      66 ,  64 , 121 ,      0 ,      0 ,       0.000000 ,       0.000000 ,      1 ,      1 ,1266176 ,265472 ,3261957536 ,3418854687 ,  66.000000 ,  66.000000 ,              ,              ,            ,            ,0.030219 ,0.030189 ,0.000030
02-12-25 22:46:18 ,02-12-25 22:46:19 ,    6 ,172.21.198.66 ,48834 ,173.194.141.9   ,  443 ,CON   ,0.040229 ,      66 ,      66 ,  64 ,  57 ,      0 ,      0 ,       0.000000 ,       0.000000 ,      1 ,      1 ,1494272 ,268800 ,1151252353 ,4072032724 ,  66.000000 ,  66.000000 ,              ,              ,            ,            ,0.039194 ,0.039142 ,0.000052
02-12-25 22:46:21 ,02-12-25 22:46:21 ,    6 ,172.21.198.66 ,46594 ,44.215.137.166  ,  443 ,CON   ,0.079479 ,      66 ,      66 ,  64 , 244 ,      0 ,      0 ,       0.000000 ,       0.000000 ,      1 ,      1 ,  82816 , 64128 , 751573940 ,1691279417 ,  66.000000 ,  66.000000 ,              ,              ,            ,            ,0.072282 ,0.072213 ,0.000069
02-12-25 22:46:25 ,02-12-25 22:46:29 ,   17 ,172.21.198.66 ,48838 ,173.194.141.9   ,  443 ,CON   ,4.200161 ,   14856 ,  816768 ,  64 ,  58 ,      0 ,      0 ,   28119.859375 , 1565697.250000 ,     80 ,    640 ,        ,       ,           ,           , 185.699997 ,1276.199951 ,   853.253750 ,   305.129125 , 134.719469 ,  16.846475 ,0.000000 ,0.000000 ,0.000000
02-12-25 22:46:28 ,02-12-25 22:46:28 ,    6 ,172.21.198.66 ,52142 ,173.194.57.234  ,  443 ,CON   ,0.030649 ,      66 ,      66 ,  64 , 120 ,      0 ,      0 ,       0.000000 ,       0.000000 ,      1 ,      1 ,  64128 ,268288 ,3520410737 , 854994792 ,  66.000000 ,  66.000000 ,              ,              ,            ,            ,0.026223 ,0.026155 ,0.000068
02-12-25 22:46:28 ,02-12-25 22:46:28 ,    6 ,172.21.198.66 ,46826 ,173.194.140.7   ,  443 ,CON   ,0.033109 ,      66 ,      66 ,  64 ,  57 ,      0 ,      0 ,       0.000000 ,       0.000000 ,      1 ,      1 ,1927424 ,257792 ,4122581072 ,4246183646 ,  66.000000 ,  66.000000 ,              ,              ,            ,            ,0.034247 ,0.034192 ,0.000055
02-12-25 22:46:28 ,02-12-25 22:46:28 ,    6 ,172.21.198.66 ,59948 ,173.194.191.234 ,  443 ,CON   ,0.027593 ,      66 ,      66 ,  64 , 121 ,      0 ,      0 ,       0.000000 ,       0.000000 ,      1 ,      1 ,1266176 ,265472 ,3261957536 ,3418854687 ,  66.000000 ,  66.000000 ,              ,              ,            ,            ,0.030219 ,0.030189 ,0.000030
