frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,icmp.type,icmp.code,ip.proto,_ws.col.Protocol
"Apr  5, 2025 01:11:49.535468000 CDT",,,,,"443","65125",,,,"QUIC"
"Apr  5, 2025 01:11:49.535542000 CDT",,,,,"65125","443",,,,"QUIC"
"Apr  5, 2025 01:11:49.535675000 CDT",,,,,"443","65125",,,,"QUIC"
"Apr  5, 2025 01:11:49.535880000 CDT",,,,,"443","65125",,,,"QUIC"
"Apr  5, 2025 01:11:49.535944000 CDT",,,,,"65125","443",,,,"QUIC"
"Apr  5, 2025 01:11:49.536082000 CDT",,,,,"443","65125",,,,"QUIC"
"Apr  5, 2025 01:11:49.536292000 CDT",,,,,"443","65125",,,,"QUIC"
"Apr  5, 2025 01:11:49.536292000 CDT",,,,,"443","65125",,,,"QUIC"
"Apr  5, 2025 01:11:49.536292000 CDT",,,,,"443","65125",,,,"QUIC"
"Apr  5, 2025 01:11:49.536376000 CDT",,,,,"65125","443",,,,"QUIC"
"Apr  5, 2025 01:11:49.536498000 CDT",,,,,"65125","443",,,,"QUIC"
"Apr  5, 2025 01:11:49.598847000 CDT",,,,,"443","65125",,,,"QUIC"
"Apr  5, 2025 01:11:51.080988000 CDT",,,"50334","443",,,,,,"TCP"
"Apr  5, 2025 01:11:51.116575000 CDT",,,"443","50334",,,,,,"TCP"
"Apr  5, 2025 01:11:53.558909000 CDT","140.82.112.25","192.168.1.95","443","50283",,,,,"6","TLSv1.2"
"Apr  5, 2025 01:11:53.559208000 CDT","192.168.1.95","140.82.112.25","50283","443",,,,,"6","TLSv1.2"
"Apr  5, 2025 01:11:53.602290000 CDT","140.82.112.25","192.168.1.95","443","50283",,,,,"6","TCP"
"Apr  5, 2025 01:11:54.463100000 CDT",,,,,,,,,,"ICMPv6"
"Apr  5, 2025 01:11:55.349535000 CDT","8.48.85.230","192.168.1.95","443","50305",,,,,"6","TLSv1.2"
"Apr  5, 2025 01:11:55.349535000 CDT","8.48.85.230","192.168.1.95","443","50305",,,,,"6","TCP"
"Apr  5, 2025 01:11:55.349612000 CDT","192.168.1.95","8.48.85.230","50305","443",,,,,"6","TCP"
"Apr  5, 2025 01:11:55.481549000 CDT",,,,,,,,,,"ICMPv6"
"Apr  5, 2025 01:11:56.437518000 CDT","35.174.127.31","192.168.1.95","443","50317",,,,,"6","TLSv1.2"
"Apr  5, 2025 01:11:56.437757000 CDT","192.168.1.95","35.174.127.31","50317","443",,,,,"6","TLSv1.2"
"Apr  5, 2025 01:11:56.542407000 CDT","35.174.127.31","192.168.1.95","443","50317",,,,,"6","TCP"
"Apr  5, 2025 01:11:57.322194000 CDT","192.168.1.95","35.174.127.31","50317","443",,,,,"6","TLSv1.2"
"Apr  5, 2025 01:11:57.386382000 CDT","35.174.127.31","192.168.1.95","443","50317",,,,,"6","TCP"
"Apr  5, 2025 01:11:57.822525000 CDT","8.48.85.230","192.168.1.95","443","50294",,,,,"6","TLSv1.2"
"Apr  5, 2025 01:11:57.822525000 CDT","8.48.85.230","192.168.1.95","443","50294",,,,,"6","TCP"
"Apr  5, 2025 01:11:57.822630000 CDT","192.168.1.95","8.48.85.230","50294","443",,,,,"6","TCP"
"Apr  5, 2025 01:11:58.479058000 CDT","192.168.1.49","239.255.255.250",,,"50201","1900",,,"17","SSDP"
"Apr  5, 2025 01:11:58.501153000 CDT","192.168.1.49","239.255.255.250",,,"50201","1900",,,"17","SSDP"
"Apr  5, 2025 01:11:58.529182000 CDT","192.168.1.49","239.255.255.250",,,"50201","1900",,,"17","SSDP"
"Apr  5, 2025 01:11:58.561323000 CDT",,,,,,,,,,"ARP"
"Apr  5, 2025 01:11:58.561335000 CDT",,,,,,,,,,"ARP"
"Apr  5, 2025 01:11:58.566758000 CDT","192.168.1.49","239.255.255.250",,,"50201","1900",,,"17","SSDP"
"Apr  5, 2025 01:11:58.588703000 CDT","192.168.1.49","239.255.255.250",,,"50201","1900",,,"17","SSDP"
"Apr  5, 2025 01:11:58.610916000 CDT","192.168.1.49","239.255.255.250",,,"50201","1900",,,"17","SSDP"
"Apr  5, 2025 01:11:58.654715000 CDT","192.168.1.49","239.255.255.250",,,"50201","1900",,,"17","SSDP"
"Apr  5, 2025 01:11:58.675754000 CDT","192.168.1.49","239.255.255.250",,,"50201","1900",,,"17","SSDP"
"Apr  5, 2025 01:11:58.697680000 CDT","192.168.1.49","239.255.255.250",,,"50201","1900",,,"17","SSDP"
"Apr  5, 2025 01:11:58.719747000 CDT","192.168.1.49","239.255.255.250",,,"50201","1900",,,"17","SSDP"
"Apr  5, 2025 01:11:59.900124000 CDT",,,"50375","443",,,,,,"TCP"
"Apr  5, 2025 01:11:59.923994000 CDT",,,"443","50375",,,,,,"TCP"
"Apr  5, 2025 01:12:02.267306000 CDT","185.26.182.112","192.168.1.95","443","50318",,,,,"6","TLSv1.2"
"Apr  5, 2025 01:12:02.267306000 CDT","185.26.182.112","192.168.1.95","443","50318",,,,,"6","TLSv1.2"
"Apr  5, 2025 01:12:02.267306000 CDT","185.26.182.112","192.168.1.95","443","50318",,,,,"6","TCP"
"Apr  5, 2025 01:12:02.267375000 CDT","192.168.1.95","185.26.182.112","50318","443",,,,,"6","TCP"
"Apr  5, 2025 01:12:02.267544000 CDT","192.168.1.95","185.26.182.112","50318","443",,,,,"6","TCP"
"Apr  5, 2025 01:12:02.399949000 CDT","185.26.182.112","192.168.1.95","443","50318",,,,,"6","TCP"
"Apr  5, 2025 01:12:02.742994000 CDT","192.168.1.155","192.168.1.255",,,"137","137",,,"17","NBNS"
"Apr  5, 2025 01:12:03.093458000 CDT",,,,,,,,,,"ICMPv6"
"Apr  5, 2025 01:12:03.246395000 CDT","192.168.1.192","224.0.0.251",,,"5353","5353",,,"17","MDNS"
"Apr  5, 2025 01:12:03.246395000 CDT",,,,,"5353","5353",,,,"MDNS"
"Apr  5, 2025 01:12:03.598443000 CDT",,,,,,,,,,"ICMPv6"
"Apr  5, 2025 01:12:03.842073000 CDT","192.168.1.115","224.0.0.251",,,"5353","5353",,,"17","MDNS"
"Apr  5, 2025 01:12:03.842521000 CDT",,,,,"5353","5353",,,,"MDNS"
"Apr  5, 2025 01:12:04.251969000 CDT","192.168.1.192","224.0.0.251",,,"5353","5353",,,"17","MDNS"
"Apr  5, 2025 01:12:04.251969000 CDT",,,,,"5353","5353",,,,"MDNS"
"Apr  5, 2025 01:12:04.325501000 CDT","192.168.1.95","35.174.127.31","50317","443",,,,,"6","TLSv1.2"
"Apr  5, 2025 01:12:04.384548000 CDT","35.174.127.31","192.168.1.95","443","50317",,,,,"6","TCP"
"Apr  5, 2025 01:12:04.385040000 CDT","35.174.127.31","192.168.1.95","443","50317",,,,,"6","TLSv1.2"
"Apr  5, 2025 01:12:04.433864000 CDT","192.168.1.95","35.174.127.31","50317","443",,,,,"6","TCP"
"Apr  5, 2025 01:12:04.847779000 CDT","192.168.1.115","224.0.0.251",,,"5353","5353",,,"17","MDNS"
"Apr  5, 2025 01:12:04.847779000 CDT",,,,,"5353","5353",,,,"MDNS"
"Apr  5, 2025 01:12:05.082179000 CDT",,,,,,,,,,"ICMPv6"
"Apr  5, 2025 01:12:06.170204000 CDT",,,"50247","443",,,,,,"TCP"
"Apr  5, 2025 01:12:06.200745000 CDT",,,"443","50247",,,,,,"TCP"
"Apr  5, 2025 01:12:06.354015000 CDT",,,,,"64664","53",,,,"DNS"
"Apr  5, 2025 01:12:06.354203000 CDT",,,,,"52266","53",,,,"DNS"
"Apr  5, 2025 01:12:06.388126000 CDT",,,,,"53","64664",,,,"DNS"
"Apr  5, 2025 01:12:06.390138000 CDT",,,,,"53","52266",,,,"DNS"
"Apr  5, 2025 01:12:06.390768000 CDT",,,"50497","80",,,,,,"TCP"
"Apr  5, 2025 01:12:06.412228000 CDT",,,"80","50497",,,,,,"TCP"
"Apr  5, 2025 01:12:06.412284000 CDT",,,"50497","80",,,,,,"TCP"
"Apr  5, 2025 01:12:06.412402000 CDT",,,"50497","80",,,,,,"HTTP"
"Apr  5, 2025 01:12:06.440199000 CDT",,,"80","50497",,,,,,"TCP"
"Apr  5, 2025 01:12:06.440775000 CDT",,,"80","50497",,,,,,"HTTP"
"Apr  5, 2025 01:12:06.448732000 CDT",,,"50497","80",,,,,,"HTTP"
"Apr  5, 2025 01:12:06.471175000 CDT",,,"80","50497",,,,,,"TCP"
"Apr  5, 2025 01:12:06.471799000 CDT",,,"80","50497",,,,,,"HTTP"
"Apr  5, 2025 01:12:06.477631000 CDT",,,"50497","80",,,,,,"HTTP"
"Apr  5, 2025 01:12:06.494417000 CDT",,,"80","50497",,,,,,"TCP"
"Apr  5, 2025 01:12:06.494640000 CDT",,,"80","50497",,,,,,"HTTP"
"Apr  5, 2025 01:12:06.543521000 CDT",,,"50497","80",,,,,,"TCP"
"Apr  5, 2025 01:12:06.788632000 CDT",,,,,"5353","5353",,,,"MDNS"
