frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,icmp.type,icmp.code,ip.proto,_ws.col.Protocol
"Apr  5, 2025 01:15:46.988193000 CDT",,,"443","50558",,,,,,"TCP"
"Apr  5, 2025 01:15:46.988193000 CDT",,,"443","50558",,,,,,"TLSv1.3"
"Apr  5, 2025 01:15:46.988224000 CDT",,,"50558","443",,,,,,"TCP"
"Apr  5, 2025 01:15:46.990171000 CDT",,,"443","50558",,,,,,"TCP"
"Apr  5, 2025 01:15:46.990385000 CDT",,,"443","50558",,,,,,"TCP"
"Apr  5, 2025 01:15:46.990404000 CDT",,,"50558","443",,,,,,"TCP"
"Apr  5, 2025 01:15:46.990897000 CDT",,,"443","50558",,,,,,"TCP"
"Apr  5, 2025 01:15:46.991098000 CDT",,,"443","50558",,,,,,"TCP"
"Apr  5, 2025 01:15:46.991112000 CDT",,,"50558","443",,,,,,"TCP"
"Apr  5, 2025 01:15:46.992011000 CDT",,,"443","50558",,,,,,"TCP"
"Apr  5, 2025 01:15:46.992218000 CDT",,,"443","50558",,,,,,"TCP"
"Apr  5, 2025 01:15:46.992233000 CDT",,,"50558","443",,,,,,"TCP"
"Apr  5, 2025 01:15:46.994459000 CDT",,,"443","50558",,,,,,"TCP"
"Apr  5, 2025 01:15:46.994459000 CDT",,,"443","50558",,,,,,"TCP"
"Apr  5, 2025 01:15:46.994492000 CDT",,,"50558","443",,,,,,"TCP"
"Apr  5, 2025 01:15:46.994883000 CDT",,,"443","50558",,,,,,"TCP"
"Apr  5, 2025 01:15:46.994883000 CDT",,,"443","50558",,,,,,"TCP"
"Apr  5, 2025 01:15:46.994903000 CDT",,,"50558","443",,,,,,"TCP"
"Apr  5, 2025 01:15:46.996059000 CDT",,,"443","50558",,,,,,"TCP"
"Apr  5, 2025 01:15:46.996059000 CDT",,,"443","50558",,,,,,"TLSv1.3"
"Apr  5, 2025 01:15:46.996093000 CDT",,,"50558","443",,,,,,"TCP"
"Apr  5, 2025 01:15:46.997255000 CDT",,,"443","50558",,,,,,"TCP"
"Apr  5, 2025 01:15:46.997255000 CDT",,,"443","50558",,,,,,"TLSv1.3"
"Apr  5, 2025 01:15:46.997287000 CDT",,,"50558","443",,,,,,"TCP"
"Apr  5, 2025 01:15:48.329260000 CDT","192.168.1.95","35.174.127.31","50317","443",,,,,"6","TLSv1.2"
"Apr  5, 2025 01:15:48.390930000 CDT","35.174.127.31","192.168.1.95","443","50317",,,,,"6","TLSv1.2"
"Apr  5, 2025 01:15:48.438107000 CDT","192.168.1.95","35.174.127.31","50317","443",,,,,"6","TCP"
"Apr  5, 2025 01:15:48.579999000 CDT",,,,,"56182","53",,,,"DNS"
"Apr  5, 2025 01:15:48.580247000 CDT",,,,,"65381","53",,,,"DNS"
"Apr  5, 2025 01:15:48.580458000 CDT",,,,,"62029","53",,,,"DNS"
"Apr  5, 2025 01:15:48.580846000 CDT",,,,,"53","56182",,,,"DNS"
"Apr  5, 2025 01:15:48.581095000 CDT",,,,,"53","65381",,,,"DNS"
"Apr  5, 2025 01:15:48.583005000 CDT",,,,,"55864","53",,,,"DNS"
"Apr  5, 2025 01:15:48.583368000 CDT",,,,,"49177","53",,,,"DNS"
"Apr  5, 2025 01:15:48.583601000 CDT",,,,,"53","55864",,,,"DNS"
"Apr  5, 2025 01:15:48.583839000 CDT",,,,,"53","49177",,,,"DNS"
"Apr  5, 2025 01:15:48.584483000 CDT",,,,,"62853","53",,,,"DNS"
"Apr  5, 2025 01:15:48.584697000 CDT",,,,,"59388","53",,,,"DNS"
"Apr  5, 2025 01:15:48.584919000 CDT",,,,,"64724","53",,,,"DNS"
"Apr  5, 2025 01:15:48.585149000 CDT",,,,,"53","62853",,,,"DNS"
"Apr  5, 2025 01:15:48.585373000 CDT",,,,,"53","59388",,,,"DNS"
"Apr  5, 2025 01:15:48.585373000 CDT",,,,,"53","64724",,,,"DNS"
"Apr  5, 2025 01:15:48.585732000 CDT","192.168.1.95","192.168.1.1","50559","80",,,,,"6","TCP"
"Apr  5, 2025 01:15:48.586379000 CDT","192.168.1.1","192.168.1.95","80","50559",,,,,"6","TCP"
"Apr  5, 2025 01:15:48.586442000 CDT","192.168.1.95","192.168.1.1","50559","80",,,,,"6","TCP"
"Apr  5, 2025 01:15:48.586734000 CDT","192.168.1.95","192.168.1.1","50559","80",,,,,"6","HTTP"
"Apr  5, 2025 01:15:48.587169000 CDT","192.168.1.1","192.168.1.95","80","50559",,,,,"6","TCP"
"Apr  5, 2025 01:15:48.587223000 CDT",,,"50560","443",,,,,,"TCP"
"Apr  5, 2025 01:15:48.587371000 CDT","192.168.1.1","192.168.1.95","80","50559",,,,,"6","HTTP"
"Apr  5, 2025 01:15:48.587834000 CDT",,,,,"62407","53",,,,"DNS"
"Apr  5, 2025 01:15:48.588048000 CDT",,,,,"64103","53",,,,"DNS"
"Apr  5, 2025 01:15:48.588263000 CDT",,,,,"63684","53",,,,"DNS"
"Apr  5, 2025 01:15:48.588484000 CDT",,,,,"53","62407",,,,"DNS"
"Apr  5, 2025 01:15:48.588703000 CDT",,,,,"53","64103",,,,"DNS"
"Apr  5, 2025 01:15:48.588703000 CDT",,,,,"53","63684",,,,"DNS"
"Apr  5, 2025 01:15:48.589150000 CDT","192.168.1.95","192.168.1.1","50561","443",,,,,"6","TCP"
"Apr  5, 2025 01:15:48.589726000 CDT","192.168.1.1","192.168.1.95","443","50561",,,,,"6","TCP"
"Apr  5, 2025 01:15:48.589762000 CDT","192.168.1.95","192.168.1.1","50561","443",,,,,"6","TCP"
"Apr  5, 2025 01:15:48.590242000 CDT","192.168.1.95","192.168.1.1","50561","443",,,,,"6","TCP"
"Apr  5, 2025 01:15:48.590242000 CDT","192.168.1.95","192.168.1.1","50561","443",,,,,"6","TLSv1"
"Apr  5, 2025 01:15:48.590519000 CDT","192.168.1.1","192.168.1.95","443","50561",,,,,"6","TCP"
"Apr  5, 2025 01:15:48.590722000 CDT","192.168.1.1","192.168.1.95","443","50561",,,,,"6","TCP"
"Apr  5, 2025 01:15:48.593985000 CDT","192.168.1.1","192.168.1.95","443","50561",,,,,"6","TLSv1.3"
"Apr  5, 2025 01:15:48.594312000 CDT","192.168.1.95","192.168.1.1","50561","443",,,,,"6","TLSv1.3"
"Apr  5, 2025 01:15:48.594397000 CDT","192.168.1.95","192.168.1.1","50561","443",,,,,"6","TCP"
"Apr  5, 2025 01:15:48.594936000 CDT","192.168.1.1","192.168.1.95","443","50561",,,,,"6","TCP"
"Apr  5, 2025 01:15:48.594959000 CDT","192.168.1.95","192.168.1.1","50561","443",,,,,"6","TCP"
"Apr  5, 2025 01:15:48.607708000 CDT",,,"443","50560",,,,,,"TCP"
"Apr  5, 2025 01:15:48.607744000 CDT",,,"50560","443",,,,,,"TCP"
"Apr  5, 2025 01:15:48.608034000 CDT",,,"50560","443",,,,,,"TCP"
"Apr  5, 2025 01:15:48.608034000 CDT",,,"50560","443",,,,,,"TLSv1"
"Apr  5, 2025 01:15:48.618481000 CDT",,,,,"53","62029",,,,"DNS"
"Apr  5, 2025 01:15:48.639818000 CDT","192.168.1.95","192.168.1.1","50559","80",,,,,"6","TCP"
"Apr  5, 2025 01:15:48.643838000 CDT",,,"443","50560",,,,,,"TCP"
"Apr  5, 2025 01:15:48.643838000 CDT",,,"443","50560",,,,,,"TLSv1.3"
"Apr  5, 2025 01:15:48.644055000 CDT",,,"50560","443",,,,,,"TLSv1.3"
"Apr  5, 2025 01:15:48.670346000 CDT",,,"443","50560",,,,,,"TLSv1.3"
"Apr  5, 2025 01:15:48.670562000 CDT",,,"443","50560",,,,,,"TCP"
"Apr  5, 2025 01:15:48.670562000 CDT",,,"443","50560",,,,,,"TCP"
"Apr  5, 2025 01:15:48.670581000 CDT",,,"50560","443",,,,,,"TCP"
"Apr  5, 2025 01:15:48.670971000 CDT",,,"443","50560",,,,,,"TCP"
"Apr  5, 2025 01:15:48.670987000 CDT",,,"50560","443",,,,,,"TCP"
"Apr  5, 2025 01:15:48.671184000 CDT",,,"443","50560",,,,,,"TLSv1.3"
"Apr  5, 2025 01:15:48.671184000 CDT",,,"443","50560",,,,,,"TLSv1.3"
"Apr  5, 2025 01:15:48.671200000 CDT",,,"50560","443",,,,,,"TCP"
"Apr  5, 2025 01:15:48.672786000 CDT",,,"50560","443",,,,,,"TLSv1.3"
"Apr  5, 2025 01:15:48.672952000 CDT",,,"50560","443",,,,,,"TLSv1.3"
"Apr  5, 2025 01:15:48.673120000 CDT",,,"50560","443",,,,,,"TLSv1.3"
"Apr  5, 2025 01:15:48.699477000 CDT",,,"443","50560",,,,,,"TLSv1.3"
"Apr  5, 2025 01:15:48.699696000 CDT",,,"443","50560",,,,,,"TLSv1.3"
"Apr  5, 2025 01:15:48.699696000 CDT",,,"443","50560",,,,,,"TLSv1.3"
"Apr  5, 2025 01:15:48.699712000 CDT",,,"50560","443",,,,,,"TCP"
"Apr  5, 2025 01:15:48.699773000 CDT",,,"50560","443",,,,,,"TLSv1.3"
"Apr  5, 2025 01:15:48.708887000 CDT",,,"443","50560",,,,,,"TCP"
"Apr  5, 2025 01:15:48.709087000 CDT",,,"443","50560",,,,,,"TCP"
"Apr  5, 2025 01:15:48.709283000 CDT",,,"443","50560",,,,,,"TLSv1.3"
"Apr  5, 2025 01:15:48.710898000 CDT",,,"443","50560",,,,,,"TLSv1.3"
"Apr  5, 2025 01:15:48.710919000 CDT",,,"50560","443",,,,,,"TCP"
"Apr  5, 2025 01:15:48.773709000 CDT",,,"443","50560",,,,,,"TCP"
"Apr  5, 2025 01:15:51.349624000 CDT",,,,,,,,,,"ICMPv6"
